Rank,Model,Type,Accuracy (%),Precision (%),Recall (%),F1-Score (%),Training Time (s),Model Size (KB),Parameters
1,1D CNN (Optimized),DL,92.1999990940094,92.14517995527274,92.2,92.08521512511001,254.16116428375244,13489.3203125,"1,142,148"
2,Random Forest,ML,91.2,91.14888896911859,91.2,91.16344158224938,0.1914675235748291,0.0625,N/A
3,Decision Tree,ML,86.7,86.71980395762891,86.7,86.7054074257135,0.012767791748046875,0.0625,N/A
4,SVM,ML,86.2,86.22258238143755,86.2,86.1868590505485,0.14861440658569336,0.0625,N/A
5,Logistic Regression,ML,83.3,83.03489097707848,83.3,83.1441003394317,0.07889461517333984,0.0625,N/A
6,Naive Bayes,ML,79.9,79.76408426578571,79.9,79.79576237564322,0.00189208984375,0.0625,N/A
