Model,Test Accuracy (%),Precision (%),Recall (%),F1-Score (%),Training Time (s),Epochs,Best Val Accuracy (%),Test Accuracy,Precision,Recall,F1-Score
VGG16,90.4,90.42,90.4,90.39,186.21889996528623,51,91.75000190734865,0.904,0.9042,0.904,0.9039
VGG19,89.8,89.83,89.8,89.8,288.2818706035614,59,92.75000095367432,0.898,0.8983,0.898,0.898
1D CNN,92.80000000000001,92.75,92.80000000000001,92.75999999999999,49.69637417793274,88,90.625,0.928,0.9275,0.928,0.9276
ResNet50,88.5,88.42,88.5,88.47,358.3442895412445,62,89.3750011920929,0.885,0.8842,0.885,0.8847
